abandon   v.抛弃，放弃=1
lattice   n.结构，点阵=0
laugh   v.笑，嘲笑=0
laughter   n.笑，笑声=0
launch   v.发射，发动，开始=0
laundry   n.洗衣店，送洗的衣物=0
lavatory   n.盥洗室，厕所=0
law   n.法律，定律=0
lawful   adj.合法的，法律的=0
lawn   n.草地，草坪=0
lawyer   n.律师，法学家=0
lay   v.放，安排，打基础=0
layday   n.装卸日期=0
layer   n.层，层次=0
layout   n.设计，规划，图案=0
laziness   n.懒惰=0
lazy   adj.懒惰的=0
l/c   n.(缩)信用证=0
lead   v.引导，领先，率领=0
leader   n.领导，领袖=0
leadership   n.领导=0
leading   adj.领先的，一流的=0
leaf   n.叶子，页=0
leaflet   n.传单，单页宣传品=0
league   n.同盟，协会=0
leak   v.漏，泄漏=0
leakage   n.渗漏=0
lean   v.俯身，倚 adj.瘦的=0
leap   v.,n.跳跃 adj.闰年的=0
learn   v.学习，获悉=0
learned   adj.有学问的=0
learner   n.学习者，学生=0
learning   n.学问，学习=0
lease   v.租凭，出租 n.租约=0
least   adj.最少的=0
leather   n.皮革 adj.皮革制的=0
leave   v.出发，离开 n.休假=0
lecture   n.,v.演讲，讲课=0
lecturer   n.演讲者，讲师=0
leeway   adj.活动余地=0
left   adj.左的 adv.向左=0
left-handed   adj.左手的，左侧的=0
leftover   n.剩余物=0
leg   n.腿，裤脚=0
legal   adj.合法的，法律的=0
legend   n.传说，传奇=0
legendary   adj.传说的，传奇的=0
legislation   n.立法，法规=0
legitimate   adj.合法的，合理的=0
legitimation   n.合法=0
leisure   n.闲暇，闲空=0
lemon   n.柠檬=0
lemonade   n.柠檬汽水=0
lend   v.出借，贷款=0
lending   n.贷款，借款=0
length   n.长度，期限=0
lengthen   v.延长，变长=0
leninism   n.列宁主义=0
lens   n.透镜，镜片，晶体=0
leopard   n.豹=0
less   adj.更少的 adv.较小=0
lessen   v.减少，变小，变弱=0
lesson   n.功课，课程，教训=0
lest   prep.唯恐，以免=0
let   v.让，使=0
letter   n.字母，信，函件=0
level   n.水平，级 v.弄平=0
lever   n.杠杆=0
levy   v.征税 n.关税=0
liability   n.责任，义务，债务=0
liable   adj.有责任的=0
liar   n.说谎者=0
liberal   adj.思想开放的=0
liberate   v.解放，释放，使自由=0
liberation   n.解放=0
liberty   n.自由=0
librarian   n.图书管理员=0
library   n.图书馆，藏书=0
license   n.许可(证)，执照=0
lick   v.舔=0
lid   n.盖，脸=0
lie   v.躺，位于 v.,n.说谎=0
lieutenant   n.中尉，副职=0
life   n.生活，生命，一生=0
lifetime   n.一生=0
lift   v.举起，吊 n.电梯=0
light   n.光，灯 adj.明亮的=0
lighten   v.发亮，使...愉快=0
lighter   n.打火机=0
lighthouse   n.灯塔=0
lightly   adv.轻轻地，轻易地=0
lightning   n.闪电=0
like   v.喜欢 prep.像=0
likelihood   n.可能，相似性=0
likely   adj.可信的adv.很可能=0
likeness   n.相像，类似=0
likewise   adv.同样，照样=0
liking   n.兴趣，嗜好=0
lily   n.百合，睡莲=0
limb   n.肢，树枝=0
lime   n.石灰=0
limestone   n.石灰岩=0
limit   n.界限，限度 v.限制=0
limitation   n.限制，局限=0
limited   adj.有限的，限定的=0
limousine   n.豪华轿车=0
limp   adj.柔软的 v.跛行=0
line   n.行，线条，界线=0
linear   adj.线性的，线状的=0
linen   n.亚麻(织物)=0
liner   n.班轮，班机=0
linger   v.徘徊，逗留，拖延=0
linguist   n.语言学者=0
linguistics   n.语言学=0
lining   n.夹里，衬里=0
link   v.联系，连结 n.纽带=0
lion   n.狮子=0
lioness   n.母狮子=0
lip   n.嘴唇=0
lipstick   n.口红，唇膏=0
liquid   n.液体 adj.液体的=0
liquor   n.烈性酒=0
list   n.表，名单 v.列表=0
listen   v.听，听从=0
listener   n.听者=0
literacy   n.识字=0
literal   adj.字面的，不夸张的=0
literally   adv.简直，字面上=0
literary   adj.文学的=0
literate   n.有文化的=0
literature   n.文学，文献=0
litre   n.公升=0
litter   v.乱丢废物 n.废物=0
little   adj.小的，一点，少的=0
live   v.居住,生存 adj.活的=0
livelihood   n.生活=0
lively   adj.活跃的，热闹的=0
liver   n.肝=0
livestock   n.牲畜=0
living   adj.活着的 n.生计=0
living-room   n.客厅，起居室=0
load   n.负载，负担 v.装载=0
loaf   n.面包 v.游荡=0
loan   n.贷款 v.出借=0
lobby   n.前厅 v.游说=0
lobster   n.龙虾=0
local   adj.地方的，当地的=0
locality   n.地点，现场=0
locate   v.找出，确定地点=0
location   n.地点，位置=0
lock   v.锁上 n.锁，绺=0
lock-up   n.锁，固定资本=0
locomotive   n.火车头，机车=0
locust   n.蝗虫=0
lodge   v.寄宿=0
lodging   n.住处，住房=0
lofty   adj.崇高的，高耸的=0
log   n.原木，航海日志=0
logic   n.逻辑，论理学=0
logical   adj.逻辑的=0
loneliness   n.孤独，寂寞=0
lonely   adj.孤独的，寂寞的=0
lonesome   adj.寂寞的=0
long   adj.长的 adv.长久=0
longevity   n.长寿=0
longing   n.渴望，思慕=0
longitude   n.经度，经线=0
long-term   adj.长期的=0
look   v.看，看上去 n.外表=0
loom   v.隐隐出现 n.织布机=0
loop   n.环，回路 v.环绕=0
loose   adj.松的，自由自在的=0
loosen   v.解开，放松=0
lord   n.君主，贵族，上帝=0
lorry   n.卡车，载重汽车=0
lose   v.失去，丢失，输=0
loss   n.丧失，失利，损失=0
lost   adj.失去的=0
lot   n.许多，地 adv.相当=0
lottery   n.抽彩，抓阄，彩票=0
loud   adj.响亮的，大声的=0
loudness   n.响亮=0
loudspeaker   n.扬声器，扩音器=0
lounge   n.休息室=0
lovable   adj.可爱的=0
love   v.爱，喜欢 n.爱情=0
lovely   adj.好看的，可爱的=0
lover   n.爱人，情人，爱好者=0
low   adj.低的，低廉的=0
lower   v.降低，减弱=0
loyal   adj.忠诚的，忠贞的=0
loyalty   n.忠诚，忠贞=0
lubricate   v.润滑=0
lubrication   n.润滑=0
luck   n.运气，幸运=0
lucky   adj.幸运的=0
luggage   n.行李=0
lumber   n.木材，木料=0
luminous   adj.发光的，明晰的=0
lump   n.块，肿块=0
lumpsum   n.总数=0
lunar   adj.月亮的，阴历的=0
lunch   n.午饭，便餐=0
luncheon   n.午餐，午宴=0
lung   n.肺=0
luxurious   adj.豪华的，奢侈的=0
luxury   n.奢侈(品)=0
machine   n.机器=0
machinery   n.机械(总称)=0
mackintosh   n.雨衣=0
macroeconomics   n.宏观经济学=0
mad   adj.疯狂的，狂热的=0
madam   n.夫人，太太，女士=0
madman   nn.疯子=0
madness   n.疯狂，疯病=0
magazine   n.杂志，期刊=0
magic   n.魔法，魔术，魅力=0
magician   n.魔术师=0
magistrate   n.地方法官=0
magnet   n.磁性，磁铁=0
magnetic   adj.磁性的=0
magnetism   n.磁性，磁力，吸引力=0
magnificent   adj.壮丽的，宏伟的=0
magnify   v.放大，扩大=0
magnitude   n.宏大，重要(性)=0
maid   n.女仆，侍女=0
maiden   n.少女 adj.未婚的=0
mail   n.邮件 v.邮寄=0
mailbox   n.信箱=0
main   adj.主要的=0
mainland   n.大陆，本土=0
mainly   adv.主要地，大部分=0
mainstream   n.主流=0
maintain   v.维持，保养，坚持=0
maintenance   n.保养，维修=0
maize   n.玉米=0
majesty   n.陛下，雄伟，庄严=0
major   adj.主要的，多数的=0
majority   n.多数，过半数=0
make   v.做，制造 n.种类=0
maker   n.制造者，制造商=0
make-shift   adj.临时的n.权宜之计=0
make-up   n.气质，化妆品=0
malady   n.病=0
malaria   n.疟疾=0
malaise   n.马来西亚=0
malaysia   n.马来西亚=0
male   adj.男性的，雄的=0
malice   n.恶意，恶感=0
malicious   adj.恶意的=0
man   n.人，男人，人类=0
manage   v.管理，处理，设法=0
management   n.管理(人员)，经营=0
manager   n.经理=0
managerial   adj.管理的=0
manhood   n.男子气=0
manifest   v.表明 adj.明白的=0
manifestation   n.表明=0
manifesto   n.宣言=0
manipulate   v.操纵，操作，摆布=0
manipulation   n.操纵，操作=0
mankind   n.人类=0
manly   adj.大丈夫的=0
manner   n.方法，方式，礼貌=0
mansion   n.宅第，官邸，大厦=0
manual   adj.用手的 n.手册=0
manufacture   v.,n.制造=0
manufactured   adj.制成的=0
manufacturer   n.制造商=0
manuscript   n.手稿，原稿=0
many   adj.许多的 n.许多=0
map   n.地图 v.筹划=0
maple   n.枫树=0
marble   n.大理石，弹子=0
march   n.三月=0
march   n.,v.行进，行军=0
margin   n.余地，边缘=0
marginal   adj.边缘的，边际的=0
marine   adj.海的，海生的=0
mariner   n.海员，水手=0
mark   n.痕迹，符号，标记=0
marked   adj.有标记的，标明的=0
market   n.市场，销路=0
marketable   adj.有销路的=0
marketing   n.市场学，营销学=0
marketplace   n.市场，集市=0
marking   n.唛头，标记=0
marriage   n.婚姻，婚礼=0
married   adj.已婚的=0
marry   v.娶，嫁，为...主婚=0
mars   n.火星=0
marsh   n.沼泽=0
marshal   n.元帅=0
martyr   n.烈士，殉道者=0
marvel   n.奇迹 v.惊奇=0
marvellous   adj.奇异的，绝妙的=0
marxism   n.马克思主义=0
marxist   n.马克思主义者=0
masculine   adj.男性的，阳性的=0
mask   n.假面具 v.掩饰=0
mass   n.堆，大量，群众=0
massacre   n.,v.屠杀，残杀=0
massage   n.按摩，推拿=0
massive   adj.粗大的，厚重的=0
mass media   n.传媒工具，新闻界=0
mast   n.桅杆=0
master   n.主人，大师，硕士=0
masterpiece   n.杰作=0
mat   n.垫子，席子=0
match   n.火柴，对手，比赛=0
mate   n.伙伴 v.配对=0
material   n.材料，资料，原料=0
materialism   n.唯物主义=0
materialize   v.使具体化，物质化=0
mathematical   adj.数学的=0
mathematics   n.数学=0
mathematician   n.数字家=0
maths   n.(缩)数学=0
matinee   n.日场演出=0
matter   n.事情，物资，毛病=0
mattress   n.床垫=0
mature   adj.成熟的，到期的=0
maturity   n.成熟，到期=0
maximize   v.增加到最大程度=0
maximum   n.最大量，极限=0
may   n.五月=0
may   v.可以，也许，祝愿=0
maybe   adv.或许，大概=0
mayor   n.市长=0
me   pron.我(宾格)=0
meadow   n.牧场，草地=0
meal   n.膳食，一顿饭=0
mean   v.打算，意指=0
meaning   n.意义，意图=0
means   n.手段，财力=0
meantime   adv.同时，在这期间=0
meanwhile   adv.,n.在这期间=0
measure   n.尺寸，量具，措施=0
measurement   n.测量(结果)=0
meat   n.肉=0
mechanic   n.技工=0
mechanical   adj.机械的、机动的=0
mechanically   adv.机械地=0
mechanics   n.力学，机械学=0
mechanism   n.机制，机械装置=0
medal   n.奖章，勋章，纪念章=0
medical   adj.医学的，医务的=0
medicine   n.药，医学=0
medieval   adj.中世纪的=0
meditate   v.考虑，沉思=0
meditation   n.考虑，沉思冥想=0
mediterranean   n.地中海=0
medium   n.中间，媒介，中庸=0
meek   adj.温顺的=0
meet   v.遇到，会见，迎接=0
meeting   n.会议，集会=0
melancholy   n.,adj.忧郁(的)=0
melody   n.旋律，曲调=0
melon   n.瓜，甜瓜=0
melt   v.熔化，融解=0
member   n.成员，会员=0
membership   n.会员资格，全体成员=0
memo   n.备忘录=0
memoir   n.回忆录=0
memorial   adj.纪念的，追悼的=0
memorize   v.记住，记忆=0
memory   n.记忆(力)，回忆=0
menace   v.,n.威胁，恐吓=0
mend   v.修理，修补，好转=0
mental   adj.心理的，精神的=0
mentality   n.心理，意识=0
mention   v.,n.提及，讲到=0
menu   n.菜单=0
merchandise   n.商品，货物=0
merchant   n.商人 adj.商业的=0
mercantile   n.商品=0
merciful   adj.仁慈的，宽大的=0
mercury   n.水星=0
mercury   n.汞，水银=0
mercy   n.宽大，慈悲，怜悯=0
mere   adj.仅仅的，起码的=0
merely   adv.仅仅，只=0
merge   v.合并=0
merit   n.价值，功绩 v.应得=0
mermaid   n.美人鱼=0
merry   adj.欢乐的=0
mesh   n.网孔，筛眼=0
mess   n.肮脏，凌乱 v.弄脏=0
message   n.音讯，消息=0
messenger   n.通讯员，使者=0
metal   n.金属=0
metallic   adj.金属的=0
metallurgy   n.冶金学=0
meter   n.量器，仪表=0
method   n.方法=0
methodology   n.方法(论)=0
meticulous   adj.小心翼翼的=0
meticulously   adv.胆小地=0
metre   n.米，公尺=0
metric   adj.公制的，米的=0
metropolitan   n.大都市=0
mexican   n.,adj.墨西哥人(的)=0
mexico   n.墨西哥=0
microeconomics   n.微观经济学=0
microphone   n.扩音器，话筒=0
microprocessor   n.微处理机=0
microscope   n.显微镜=0
microwave   n.微波=0
midday   n.正午，晌午=0
middle   n.当中 adj.中部的=0
middleman   n.中人，中间人=0
middling   n.中等的，第二流的=0
midnight   n.午夜=0
midst   n.中间，中部=0
might   v.或许，可以 n.力=0
mighty   adj.强有力的=0
migrant   adj.迁移的，候鸟的=0
migrate   v.迁移(海外)，移栖=0
migration   n.迁移，移居海外=0
mild   adj.温和的，味淡的=0
mile   n.英里=0
mileage   n.里程=0
milestone   n.里程碑=0
military   adj.军事的，好斗的=0
militia   n.民兵(组织)=0
milk   n.奶，乳夜 v.挤奶=0
milkman   n.送奶人=0
milky   adj.加奶的，乳白色的=0
mill   n.磨坊，工厂 v.滚乱=0
miller   n.磨坊主=0
millimetre   n.毫米=0
million   n.百万=0
millionaire   n.百万富翁=0
mince   v.切碎，绞碎=0
mincer   n.粉碎机=0
mind   n.头脑，智力 v.介意=0
mine   pron.我的 n.矿山=0
miner   n.矿工=0
mineral   n.矿物 adj.矿物的=0
mingle   v.混合，混入=0
miniature   n.雏形，缩影，袖珍=0
minicomputer   n.微型计算机=0
minimize   v.使减到最小=0
minimum   n.最少量 adj.最小的=0
minister   n.教士，部长，大臣=0
ministry   n.(政府)部=0
minor   adj.较小的，次要的=0
minority   n.少数，少数民族=0
mint   n.造币厂，薄荷=0
minus   prep.减去 adj.减的=0
minute   n.分钟，片刻=0
miracle   n.奇迹，令人惊讶的事=0
miraculous   adj.奇迹(般)的=0
mirror   n.镜子 v.反映=0
miscarriage   n.未到目的地=0
miscarry   v.未运到(目的地)=0
mischief   n.伤害，恶作剧=0
miser   n.吝啬鬼，守财奴=0
miserable   adj.悲惨的，糟糕的=0
misery   n.痛苦，悲惨，苦难=0
misfortune   n.不幸=0
misgiving   n.疑虑，担心=0
mishandle   v.装卸不慎=0
mishap   n.事故=0
misinterpret   v.误解=0
mislead   v.引入岐途=0
miss   v.未击中,错过 n.小姐=0
missile   n.导弹，发射物=0
missing   adj.丢失的，缺少的=0
mission   n.使团，使命，天职=0
missionary   n.传教士=0
mist   n.薄雾 v.使迷糊=0
mistake   n.错误，误解 v.搞错=0
mistaken   adj.搞错了的，误解的=0
mister   n.先生(缩写为Mr.)=0
mistress   n.女主人，情妇=0
misty   adj.雾蒙蒙的，有雾的=0
misunderstand   v.误解，误会=0
misunderstanding   n.误会，曲解=0
mitten   n.连指手套，露指手套=0
mix   v.混合，配料，交往=0
mixer   n.混合器=0
mixture   n.混合物，混和=0
moan   v.,n.呻吟，悲叹=0
mob   n.暴民，乌合之众=0
mobile   adj.机动的，流动的=0
mobilize   v.动员=0
mock   v.嘲笑，愚弄=0
mode   n.方式，方法=0
model   n.模范，模型，模特儿=0
moderate   adj.适度的 v.缓和=0
moderately   adv.适度地，适中地=0
modern   adj.现代的，时髦的=0
modernization   n.现代化=0
modernize   v.使...现代化=0
modest   adj.谦虚的，质朴的=0
modesty   n.谦虚=0
modification   n.修改，缓和=0
modified   adj.改良的，改进的=0
modify   v.修改，减轻，修饰=0
modulate   v.调整，改变=0
module   n.模量，模件=0
moist   adj.潮湿的=0
moisture   n.潮气=0
molecular   adj.分子的=0
molecule   n.分子=0
moment   n.时刻，瞬间=0
momentary   adj.片刻的，瞬间的=0
momentous   adj.重要的，重大的=0
monarch   n.君主，王室=0
monastery   adj.修道院，寺院=0
monday   n.星期一=0
monetary   adj.货币的，金融的=0
money   n.金钱，货币，财富=0
monitor   n.班长,监视器 v.监视=0
monk   n.和尚，修道士=0
monkey   n.猴子=0
monopolize   v.垄断，独占=0
monopoly   n.垄断，独占=0
monotonous   adj.单调的，枯燥的=0
monotony   n.单调，枯燥=0
monster   n.怪兽，怪物，魔鬼=0
monstrous   adj.可怕的，极恶的=0
month   n.月份=0
monthly   adj.每月的 n.月刊=0
monument   n.纪念章，不朽之物=0
monumental   adj.纪念碑式的=0
mood   n.心情，心境，情绪=0
moon   n.月亮=0
moonlight   n.月光=0
moonlighting   n.业余干活=0
moor   v.系泊，把船栓定=0
mop   n.拖把，墩布=0
moral   adj.道德的 n.教训=0
morale   n.士气，斗志=0
morality   n.道德品质=0
more   adj.更多的,更 adv.更=0
moreover   adv.此外，而且=0
morning   n.早晨，上午=0
mortal   adj.致命的=0
moslem   n.,adj.穆斯林=0
mosque   n.清真寺=0
mosquito   n.蚊子=0
moss   n.苔藓，地衣=0
most   adj.最多的 adv.非常=0
mostly   adv.主要地，大多=0
motel   n.汽车旅馆=0
moth   n.蛾=0
mother   n.母亲 adj.出生地的=0
mother-in-law   n.岳母，婆婆=0
motion   n.运动，议案=0
motionless   adj.不动的=0
motivate   v.促进，激发=0
motivation   n.动机=0
motive   n.动机=0
motor   n.发动机=0
motorcar   n.汽车=0
motorcycle   n.摩托车=0
motorist   n.摩托车手=0
motorway   n.汽车道，高速公路=0
motto   n.座右铭=0
mould   n.模子，型，霉菌=0
mount   n.山，岳 v.登上=0
mountain   n.山=0
mountainous   adj.多山的，山一般的=0
mourn   v.悲悼，哀痛=0
mournful   adj.悲悼的，哀痛的=0
mourning   n.哀痛=0
mouse   n.老鼠=0
moustache   n.胡子，须=0
mouth   n.口，嘴巴，河口=0
mouthful   n.一口，满口=0
move   v.移动，推动，搬家=0
movement   n.活动，运动，动作=0
movie   n.电影(院)=0
mr.   n.(缩)先生=0
mrs.   n.(缩)夫人，太太=0
ms.   n.(缩)女士=0
much   adj.许多的 n.许多=0
mud   n.泥浆=0
muddy   adj.泥泞的=0
muffle   v.裹住，捂住=0
muffler   n.围巾，消音器=0
mug   n.(有柄)大杯=0
mule   n.骡子=0
multiple   adj.复合的，多次方的=0
multiplication   n.乘法，增加=0
multiply   v.乘，增加，繁殖=0
multifunction   n.多功能的=0
multitude   n.大批，大群=0
municipal   adj.市的，市政的=0
mumble   v.咕哝，嘟囔=0
mumps   n.腮腺炎=0
murder   v.,n.谋杀(案)=0
murderer   n.凶手，杀人犯=0
murmur   v.低声说=0
muscle   n.筋，肌肉=0
muscular   adj.肌肉发达的=0
muse   v.沉思，默想=0
museum   n.博物馆，陈列馆=0
mushroom   n.“蘑菇=0
music   n.音乐，乐曲=0
musical   adj.音乐的 n.歌舞片=0
musician   n.音乐家，作曲家=0
must   v.必须，准是 n.必须=0
mustard   n.芥末=0
mute   adj.缄默的 n.哑巴=0
mutter   v.咕哝，抱怨=0
mutton   n.羊肉=0
mutual   adj.相互的，共同的=0
my   pron.我的=0
myriad   n.,adj.无数(的)=0
myself   pron.我自己，我亲自=0
mysterious   adj.神秘的，玄妙的=0
mystery   n.神秘，奥妙，秘事=0
mystic   adj.神秘的=0
myth   n.神话=0
mythology   n.神话(学)=0
nail   n.钉子，指甲 v.钉=0
naive   adj.天真的=0
naked   adj.裸体的，赤裸裸的=0
name   n.姓名，名称 v.命名=0
nameless   adj.无名的=0
namely   adv.即，也就是=0
namesake   n.名义=0
nap   n.打盹，小睡=0
napkin   n.餐巾(纸)=0
narrate   v.叙述=0
narration   n.叙述=0
narrator   n.叙述者=0
narrow   adj.狭窄的，勉强的=0
nasty   adj.肮脏的，下流的=0
nation   n.国家，国民，民族=0
national   adj.民族的，国家的=0
nationality   n.国籍=0
native   adj.本国的，出生地的=0
natural   adj.自然的，通常的=0
naturally   adv.自然地=0
nature   n.自然，本性，性质=0
naughty   adj.淘气的，顽皮的=0
nausea   v.恶心，讨厌=0
naval   adj.海军的=0
navel   n.脐，中心=0
navigable   adj.可航行的=0
navigation   n.航行，航海，航空=0
navy   n.海军=0
near   adv.近 adj.近的=0
nearby   adj.,adv.附近(的)=0
nearly   adv.几乎，差不多=0
neat   adj.整洁的，简洁的=0
necessarily   adv.必然，当然=0
necessary   adj.必要的，必然的=0
necessitate   v.使需要，强迫=0
necessity   n.必要性，必须品=0
neck   n.颈，脖子=0
necklace   n.项链=0
need   n.需要，贫困 v.需要=0
needful   adj.必要的=0
needle   n.针，指针，针叶=0
needless   adj.不必要的，无用的=0
needy   adj.贫穷的=0
negate   v.否定=0
negation   n.否定=0
negative   adj.否定的 n.负片=0
neglect   v.,n.疏忽，忽视=0
negligence   n.疏忽，过失=0
negligent   adj.粗心大意的=0
negligible   adj.微不足道的=0
negotiable   adj.可谈判的=0
negotiate   v.谈判，交涉=0
negotiation   n.谈判=0
negro   n.黑人(贬义)=0
neighbor   n.邻居，邻国=0
neighborhood   n.邻里，街坊=0
neighboring   adj.邻近的，相邻的=0
neither   conj.既不...又不...=0
nephew   n.侄子，外甥=0
nerve   n.神经，胆量=0
nervous   adj.神经(质)的，=0
nest   n.巢，窝=0
nestle   v.安顿，建巢=0
net   n.网 adj.净的，纯的=0
network   n.网络，网状组织=0
neutral   adj.中立的，中和的=0
neutrality   n.中立=0
neutron   n.中子=0
never   adv.从不，永不，未曾=0
nevertheless   adv.还是，然而=0
new   adj.新的，重新的=0
news   n.新闻，消息=0
newspaper   n.报纸，新闻纸=0
next   adv.下一次，然后=0
nice   adj.令人愉快的=0
nickel   n.镍，镍币=0
nickname   n.绰号，诨号=0
niece   n.侄女，外甥女=0
night   n.夜，黑夜=0
nightgown   n.睡衣=0
nightingale   n.夜莺=0
nightmare   n.恶梦=0
nine   num.九=0
nineteen   num.十九=0
ninety   num.九十=0
ninth   num.第九，九分之一=0
nitrogen   n.氮=0
no   adv.不,毫不 adj.没有=0
no.   n.(缩)...号，号码=0
nobility   n.高贵，庄严=0
noble   adj.高尚的，贵族的=0
nobody   prep.谁也不=0
nod   v.,n.点头=0
noise   n.噪音，吵嚷声=0
noisy   adj.吵闹的=0
nominal   adj.名义上的，票面的=0
nominate   v.提名，推荐，任命=0
nomination   n.提名，任命=0
none   prep.没人，毫无=0
nonsense   n.废话，谬论=0
noon   n.中午，正午=0
nor   conj.也不，也没=0
norm   n.标准，规范，定额=0
normal   adj.正常的，标准的=0
normalization   n.正常化=0
normalize   v.使正常，使标准化=0
normally   adv.正常地，通常=0
north   n.北，北方 adj.北的=0
northeast   adj.,n.东北(的)=0
northern   adj.北方的，北部的=0
northward   adj.,adv.向北(的)=0
northwest   adj.,n.西北(的)=0
nose   n.鼻子=0
nostril   n.鼻孔=0
not   adv.不=0
notable   adj.值得注意的=0
notably   adj.尤其，值得注意地=0
note   n.笔记，注释，便条=0
notebook   n.笔记本=0
noted   adj.著名的=0
note-taking   n.笔记，笔录=0
nothing   n.没有东西 adv.毫不=0
notice   v.留意 n.注意，通知=0
noticeable   adj.显而易见的=0
notification   n.通知(书)，布告=0
notify   v.通知，通告，报告=0
notion   n.概念，意见，看法=0
notorious   adj.臭名昭著的=0
notwithstanding   prep.,conj.尽管=0
nought   n.零=0
noun   n.名词=0
nourish   v.养育，提供养分=0
nourishment   n.食物，补品=0
novel   adj.新颖的 n.小说=0
novelist   n.小说家=0
novelette   n.中篇小说=0
novelty   n.新奇，新颖=0
november   n.十一月=0
now   adv.n.现在 conj.既然=0
nowadays   adv.现今，目前=0
nowhere   adv.哪儿也不=0
nuclear   adj.核的，原子核的=0
nucleus   n.(原子)核，核心=0
nuisance   n.令人讨厌的人或事=0
null   n.无=0
nullify   v.使无效，取消=0
number   n.数字，若干，号码=0
numerical   adj.数字的=0
numerous   adj.众多的，大量的=0
nun   n.修女，尼姑=0
nurse   n.护士，保姆 v.护理=0
nursery   n.托儿所，苗圃=0
nut   n.坚果，螺母=0
nylon   n.尼龙=0
oak   n.橡树，栎树=0
oar   n.橹，桨=0
oath   n.誓言，誓约=0
obedience   n.服从，顺从=0
obedient   adj.服从的，顺从的=0
obey   v.服从，遵守=0
object   n.物体，目的 v.反对=0
objection   n.反对，异议，不愿=0
objective   n.目标 adj.客观的=0
obligation   n.义务，责任=0
oblige   v.责成，使感激=0
obliterate   adj.删去，抹掉=0
oblong   adj.椭圆形的=0
obscure   adj.无名的 v.遮蔽=0
observance   n.仪式，习惯=0
observation   n.观察，评述=0
observe   v.观察，遵守，注视=0
observer   n.观察员=0
obstacle   n.障碍(物)=0
obstinate   adj.固执的，顽强的=0
obstruction   n.堵塞，妨碍=0
obtain   v.获得=0
obtainable   adj.可得到的=0
obvious   adj.明显的=0
obviously   adv.明显地，显然=0
occasion   n.场合，盛事，机会=0
occasional   adj.偶然的，有时的=0
occasionally   adv.偶而，有时=0
occident   n.西方=0
occidental   adj.西方的，西洋的=0
occupation   n.职业，占有=0
occupy   v.占据，占领，担任=0
occur   v.发生，出现，想到=0
occurrence   n.发生，出现，事件=0
ocean   n.海洋，大洋=0
oceania   n.大洋洲=0
oceanography   n.海洋学=0
o'clock   adv.点钟=0
october   n.十月=0
odd   adj.古怪的，奇数的=0
odour   n.气味=0
of   prep..的(表示领属等)=0
off   adv....去 prep.离开=0
off-duty   adj.不当班的=0
offence   n.过错，冒犯，攻击=0
offend   v.冒犯，得罪=0
offensive   adj.冒犯的，攻击的=0
offer   v.,n.提供，报盘=0
offering   n.报盘，提供的货物=0
off-grade   adj.等外的，质差的=0
office   n.办公室，事务所=0
officer   n.军官，警官，官员=0
official   n.官员 adj.官方的=0
offset   v.抵消，弥补=0
offspring   n.子女，子孙=0
often   adv.经常，常常=0
oh   int.哦，嗬=0
oil   n.油，石油=0
o.k.   adj.,n.(缩)对，行=0
old   adj.老的，...岁的=0
olive   n.橄榄(树)=0
omen   n.前兆=0
ominous   adj.不祥的=0
omission   n.省略=0
omit   v.省略，遗漏=0
on   prep.在...上，关于=0
once   adv.一度，一次=0
one   num.,n.一，一个=0
oneself   pron.自己，自身=0
onion   n.洋葱=0
only   adj.唯一的 adv.仅仅=0
onset   n.攻击，着手=0
onto   prep.到...上=0
onward   adv.,adj.向前(的)=0
opal   n.蛋白石=0
opaque   adj.不透明的=0
open   adj.开的 v.打开=0
opener   n.开罐器，起子=0
opening   n.开始，通路，孔=0
opera   n.歌剧=0
operate   v.运转，操作，开刀=0
operation   n.操作，生效，手术=0
operational   adj.业务上的，操作的=0
operative   adj.有效的=0
operator   n.操作人员，接线员=0
opinion   n.意见，评论，看法=0
opium   n.鸦片=0
opponent   n.对手，敌手=0
opportune   adj.及时的，凑巧的=0
opportunity   n.机会，机遇，时机=0
oppose   v.反对，反抗=0
opposite   adj.对立的，对面的=0
opposition   n.敌对，反抗=0
oppress   v.压抑，压迫，压制=0
oppression   n.压迫=0
optical   adj.视觉的，光学的=0
optimal   adj.最佳的=0
optimism   n.乐观(主义)=0
optimistic   adj.乐观(主义)的=0
optimize   v.最佳化=0
optimum   n.最佳条件=0
option   n.选择，可选择的东西=0
optional   adj.可任选的，随意的=0
or   conj.或者，即，否则=0
oral   adj.口头的，口的=0
orange   n.柑桔，橙色=0
orbit   n.轨道=0
orchard   n.果园=0
orchestra   n.管弦乐队，交响乐=0
order   n.命令，订货，次序=0
orderly   adj.整齐的 n.勤务员=0
ordinarily   adv.通常=0
ordinary   adj.普通的，一般的=0
ore   n.矿石，矿物=0
organ   n.器官，风琴=0
organic   adj.器官的，有机的=0
organism   n.有机体=0
organization   n.组织，团体=0
organizational   adj.组织的=0
organize   v.组织，筹备，编排=0
orient   n.东方 v.定方针=0
oriental   adj.,n.东方的(人)=0
orientation   n.定向，倾向性=0
origin   n.起源，产地=0
original   adj.原始的 n.原物=0
originality   n.独创性=0
originally   adv.原来，当初=0
originate   v.起源，首创=0
ornament   n.装饰(品)=0
ornamental   adj.装饰的=0
orphan   n.孤儿=0
oscillation   n.摆动，振动=0
other   adj.其他的，别的=0
otherwise   adv.另外的 conj.否则=0
